name,phone,segment,city,rating,reviews,address,website
Future Scholars Classes,917545863013,NEET/JEE,Patna,4.9,142,"B-9, 2nd Floor, P C Colony Rd, People Cooperative Colony, Kankarbagh, Patna, Bihar 800020",https://www.futurescholars.in/
Mahavir Home Tuition,919546360134,NEET/JEE,Patna,4.9,217,"Near, R.K, Dwarika College Ganga Vishnu Nagar, St Michael School, Gali, Road No. 3, Chiraiyatand, Ashok Nagar, Kankarbagh, Patna, Bihar 800020",https://mahavirhometuition.in/
"Curious Minds - Best Arts Coaching in Patna, Boring road",917563049154,NEET/JEE,Patna,4.9,57,"Ground Floor Dpl House, Dadiji Lane, Boring Rd, opposite Fashion planet, Anandpuri, Patna, Bihar 800001",https://artsforcbseandbiharboard.com/
Universal Home Tuition,918540870106,NEET/JEE,Patna,4.7,347,"1st floor,House no.28 North SK Puri,Kasturbapath, Boring Rd, jamuna gali, Anandpuri, Patna, Bihar 800013",http://www.universalhometuition.com/
Chemistry Educare,918510895639,NEET/JEE,Patna,5,27,"2 Nd Floor, Sheela Sadan, Road. 1 D, Shivaji Colony, Beur, Anisabad, Patna, Bihar 800032",https://chemistryeducare.com/
Gyan - Vidya Mandir,919810454771,NEET/JEE,Patna,4.8,102,"2nd Floor, PNB Building, near Doctor's Colony, Housing Board Colony, Kankarbagh, Patrakar Nagar, Patna, Bihar 800020",http://gyanvidyamandir.in/
Home Tutor | Home Tuition in Patna,919470631925,NEET/JEE,Patna,4.9,16,"Vijay Path, near Mudeswari Trident Ashopur, Mustafapur, Patna, Bihar 801105",http://www.nancyhometuition.in/
Aditya Classes,919123477458,NEET/JEE,Patna,4.8,152,"J38X+5JW North of PTC Colony, NO.02, Anju Villa Marg, near Powergrid Gate, West Patel Nagar, Adarsh Colony, North Shastri Nagar, Patna, Bihar 800023",https://adityaclassespatna.org/
Aman Home Tuition Bureau - Best Home Tutors in Patna,916299286072,NEET/JEE,Patna,5,12,"south of, Panch Mandir Rd, West Patel Nagar, Adarsh Colony, North Shastri Nagar, Patna, Bihar 800024",https://amantuitionpatna.in/
Physics Classes ( By SK JHA Sir ),919709788781,NEET/JEE,Patna,4.8,324,"A 109 houshingColony, near east of panch shiv mandir back of kankarbagh sports complex, Housing Board Colony, Kankarbagh, Patna, Bihar 800020",
Dhruva Academy,919065413935,NEET/JEE,Patna,4.9,107,"2/22, S. B, House no 2, I. colony, Bailey Rd, opposite Pillar no.- 07, Jagdeo Path, Rukanpura, Patna, Bihar 800014",http://www.dhruvaacademy.in/
Practical padhai classes,918877880992,NEET/JEE,Patna,5,82,"Chandra raj complex, east of, Gola Rd, opposite of shubham friends marriage garden, near St Karen's high school, Vivek Vihar Colony, Patna, Bihar 801503",
Innovative Classes,917856949300,NEET/JEE,Patna,4.8,217,"Arrah Garden Rd, opposite Pillar No.-04, above Anand Vastralaya, Jagdeo Path, Dhanaut, Patna, Bihar 800014",
Progress Home Tuition,918709327795,NEET/JEE,Patna,4.9,64,"Gate No.-3, Ahmad Campus, Alinagar Main Rd, Ali Nagar Colony, Anisabad, Patna, Bihar 800002",https://patna.homestuition.in/
GUARANTEE TUTORIAL,916299707250,NEET/JEE,Patna,4.7,238,"Janak Plaza, West Boring Canal Rd, near Udyan Hospital, North Anandpuri, Anandpuri, Patna, Bihar 800001",
Anupama Home Tuition,919431623201,NEET/JEE,Patna,3.5,133,"150-F, Boring Rd, Sri Krishna Puri, Patna, Bihar 800001",https://www.anupamahometuition.co.in/
Rebel Science Tutorial,916202731809,NEET/JEE,Patna,5,15,"E Boring Canal Rd, near Panchmukhi Hanuman Mandir, Sri Krishna Nagar, Kidwaipuri, Patna, Bihar 800001",https://rebelclasses.blogspot.com/?m=1
Yug Tution zone,919234578023,NEET/JEE,Patna,4.9,21,"Danapur Main Rd, near Biscuit Factory Road, Nasriganj, Mithila Colony, More Nizamat, Danapur, Patna, Bihar 800012",
Educare Home Tuition,919570421195,NEET/JEE,Patna,4.7,106,"Al-Hira Public School, 6, Shahganj Gali, beside Tulip Plaza Marriage Hall, Sultanganj, Muhammadpur, Patna, Bihar 800006",https://g.co/kgs/SUtTf4S
QUARKS CLASSES | 6th to 12th all subj | NEET | JEE |,919079809022,NEET/JEE,Patna,4.8,123,"Vijay Yadav Path, Danapur - Khagaul Rd, near The Tribhuvan school, Lekha nagar, Mustafapur, Danapur, Patna, Bihar 801105",https://quarks-classes.com/?utm_source=gmb&utm_medium=referral
Nancy Coaching Classes | Home Tuition,918987385362,NEET/JEE,Patna,5,70,"Road, Vijay Path, near Tribhuwan School, Ashopur, Mustafapur, Patna, Bihar 801105",https://patna.homestuition.in/
Clear Concept Tutorials,919852214186,NEET/JEE,Patna,4.7,51,"2M/105,, 2M/105, Bahadurpur Housing Colony, Mahatma Gandhi Nagar, Chitragupta Nagar, Patna, Bihar 800026",
Ideal Home Tuition,919608922002,NEET/JEE,Patna,4.8,37,"Pili Kothi, Kali Mandir Rd, RPS Nagar, PGS, Kaliket Nagar, Danapur, Patna, Bihar 801503",https://idealhometuition.in/
Expert Home Tuition,916209179724,NEET/JEE,Patna,4.9,10,"PRDA Colony, Shivpuri, Chitkohra, Patna, Bihar 800002",
Achiever's Arts Academy- Top & Best Arts Coaching in Boring Road Patna,917856850200,NEET/JEE,Patna,4.8,247,"Near Yamuna Apartment, 2nd Floor, Check Post, Shiv Laxmi Niwas, Boring Rd, Anandpuri, Patna, Bihar 800013",https://achieversartsacademy.in/
Vardaan Classes -,917321894941,NEET/JEE,Patna,4.9,201,"E Boring Canal Rd, crossing, Kidwaipuri, Patna, Bihar 800001",http://www.vardaanclasses.in/
Maxx Home Tuition,919852304330,NEET/JEE,Patna,4.7,20,"Sk - 9, Malahi Pakari Chowk, near Doctors Colony, East Indira Nagar, Kankarbagh, Patrakar Nagar, Patna, Bihar 800020",https://maxx.homestuition.in/
Success Home Tuition || Home Tutor || Home Tuition In Patna,919296257265,NEET/JEE,Patna,5,9,"H.No. - 243, Park, Shree Krishnapuri, Boring Rd, near S. K. Puri, Anandpuri, Patna, Bihar 800001",https://hometuitioninpatna.com/
Ram Science Centre,919570917737,NEET/JEE,Patna,4.6,99,"North Of Kendriya Vidyalaya, Near Heart Hospital, B-25, Kankarbagh, Patrakar Nagar, Patna, Bihar 800020",
"Catalyzers Institute | Best institute for IIT-JEE ,Neet and Boards",917737976414,NEET/JEE,Kota,4.9,160,"House No MPB39, Main Rd, Mahaveer Nagar-I, Mahaveer Nagar Housing Board Colony, Mahaveer Nagar, Kota, Rajasthan 324008",http://www.catalyzers.live/
Shikhar Institute - Top JET / CUET & Top NEET Coaching in Kota | Best Agriculture Coaching in Kota,919828775695,NEET/JEE,Kota,5,128,"Keshavpura, Talwandi, Kota, Rajasthan 324005",https://shikhar-institute-top.grexa.site/
Best physics and chemistry coaching in kota | Tutorial Point,919509703253,NEET/JEE,Kota,4.8,341,"District Centre, Plot no. 224-225, New Jawahar Nagar, Talwandi, Kota, Rajasthan 324005",https://tutorialpointkota.in/
BeWise Classes | NEET Coaching Kota,919416566619,NEET/JEE,Kota,4.7,198,"H. No A, 01, near Mittal Heart Centre, New Jawahar Nagar, Talwandi, Kota, Rajasthan 324005",http://bewiseclasses.com/
Nissan Classes Private Limited - Best JEE coaching institute in kota I JEE Coaching in mahaveer nagar I JEE classes in kota,918696119111,NEET/JEE,Kota,4.3,201,"2, Y-5, Mahaveer Nagar 3, Mahaveer Nagar Housing Board Colony, Mahaveer Nagar, Kota, Rajasthan 324005",https://www.nissanshkota.com/
KTM Sir Physics | Premium JEE (Main & Advanced) & NEET Mentorship,917357138771,NEET/JEE,Kota,4.9,176,"1 Q, 26, Sector 1, Talwandi, Kota, Rajasthan 324005",https://youtube.com/@ktmsirphysics1?si=jxqVqBuVnX9qwZvX
"Physics Wallah Vidyapeeth Coaching Center Helpline | IIT JEE, NEET Classes",917428890305,NEET/JEE,Kota,4.1,181,"Career Point Tower 2, Plot No.E-8 (l, Rd Number 1, Indraprastha Industrial Area, Kota, Rajasthan 324005",https://www.pw.live/scholarship/nsat/vidyapeeth?utm_source=GMB&utm_medium=organic&utm_campaign=NSAT_24
Margdarshan Career Institute Kota,919466866501,NEET/JEE,Kota,5,250,"Margdarshan Tower, 1, opposite to Landmark City Road, Kunadi, Electricity Board Area, Kota, Rajasthan 324008",
Career Point CP Tower 2,918047250011,NEET/JEE,Kota,4.1,315,"Plot No.E-8 (l, Career Point Tower 2, Plot No.E-8 (l, Rd Number 1, Indraprastha Industrial Area, Kota, Rajasthan 324005",http://careerpoint.ac.in/contact-us/
SRB Physics AK SIR - Best JEE Coaching | NEET UG Coaching Institute | JEE Main Advance Coaching | Best Physics Teacher NEET,918005665370,NEET/JEE,Kota,4.9,123,"12, Supreme residency, JK Rd, near Queen 's Court, Rajeev Gandhi Nagar, Instrumentation Limited Colony, Kota, Rajasthan 324005",http://srbphysicskota.in/
COC By AK Gupta || Best Chemistry Classes in Landmark City For NEET ||,916367235660,NEET/JEE,Kota,4.8,73,"Kunadi, Electricity Board Area, Kota, Rajasthan 324008, India",https://www.youtube.com/%20@conceptofchemistrybyakg
Best Physics Coaching in Kota by RST Sir for NEET | IIT JEE,919001243206,NEET/JEE,Kota,5,4,"RST Sir, Tutorial Point Coaching, behind Mittal Orchid Hotel, Old Jawahar Nagar, New Jawahar Nagar, Talwandi, Kota, Rajasthan 324005",https://tutorialpointkota.in/index.php/physic-by-rst-sir/
Resonance Kota - Station Road Center,917443192223,NEET/JEE,Kota,3.8,135,"1st Floor, C/O 3-4 Vidhya Nagar, Manoj Marg & Station Road, Kota, Rajasthan 324002",https://www.resonance.ac.in/
"Drona Career Institute, Kota| Best Agriculture Coaching in Kota | | Best JEE Coaching Institute in Kota",919950208045,NEET/JEE,Kota,4.9,187,"115, near Khendhelwal Nursing Home, Mahaveer Nagar-II, Mahaveer Nagar Housing Board Colony, Talwandi, Kota, Rajasthan 324005",https://dronainstitute.in/
CAREERWILL KOTA NEET,919211558168,NEET/JEE,Kota,4.3,92,"District Centre, Plot No:- 5, New Jawahar Nagar, Talwandi, Kota, Rajasthan 324005",https://www.cwneetoffline.com/
Rao IIT Academy,917442428595,NEET/JEE,Kota,4,283,"Pacific Hostel, CP-3, Indra Vihar, Talwandi, Kota, Rajasthan 324005",
"ALLEN Career Institute - Saakar-2 Campus, Kota | IIT JEE, NEET & Foundation Coaching",918690660111,NEET/JEE,Kota,4.4,189,"Plot No 353, Rajeev Gandhi Nagar, Mahaveer Nagar, Kota, Rajasthan 324005",https://www.allen.ac.in/kota/?utm_source=GMB&utm_medium=Organic&utm_campaign=ALLEN_Career_Institute_Saakar_Campus_2_Kota
JEEMAC KOTA by KD SIR,919672226187,NEET/JEE,Kota,4.8,143,"79 , Old, Rajeev Gandhi Nagar, Instrumentation Limited Colony, Kota, Rajasthan 324005",http://www.kdsirjeemackota.com/
"ONLY CHEMISTRY. JEE-Mains/Advance,NEET-ug & CBSE Board",918107940987,NEET/JEE,Kota,5,18,"C/F :-20 NEW JAWAHAR NAGAR KOTA, न्यू जवाहर नगर। गली नंबर-07, नियर काका मैस एंड टिफिन सेंटर।, New Jawahar Nagar, Talwandi, Kota, Rajasthan 324005",
Physics by sk singh sir (Pulse Edu Hub) Best physics faculty for NEET and IIT-JEE | Best kota coaching for physics,917737199933,NEET/JEE,Kota,4.9,69,"A, 3, Swami Dayanand Saraswati Rd, opposite Bharat petrol pump, New Jawahar Nagar, Talwandi, Kota, Rajasthan 324005",
ABLES EDUCATION,919982812345,NEET/JEE,Kota,4.5,166,"A-588, Commerce College Rd, New Rajeev Gandhi Nagar, Sector - A, Talwandi, Kota, Rajasthan 324005",https://ableskota.com/
ISAC LEARNING,919953317858,NEET/JEE,Kota,4.4,263,"B 17, Rd Number 2, near Lokhith Residency, Instrumentation Limited Colony, Kota, Rajasthan 324005",https://isacdigital.com/
Drishyam classes,918709048653,NEET/JEE,Kota,4.8,109,"gate no 3, Drishyam classes, front of allen, A 61, Samyak Rd, Kunadi, Electricity Board Area, Kota, Rajasthan 324008",http://www.drishyamclassss.com/
Biology by Dwivedi sir - Best Biology Teacher For Neet In Kota,919461259257,NEET/JEE,Kota,4.9,153,"City Center, New Jawahar Nagar, Talwandi, Kota, Rajasthan 324005",http://www.biologybydwivedisir.com/
acadxl / Best JEE Coaching In kota,917737432098,NEET/JEE,Kota,4.9,208,"38, Rajeev Gandhi Nagar, Instrumentation Limited Colony, Kota, Rajasthan 324005",https://www.acadxl.com/
"ALLEN Career Institute - Sarokar Campus | IIT JEE, NEET & Foundation",918951395299,NEET/JEE,Kota,4.3,36,"No C10, Nursery Road, Kota Airport Area, Talwandi, Kota, Rajasthan 324005",https://www.allen.ac.in/kota/?utm_source=GMB&utm_medium=Organic&utm_campaign=ALLEN_Career_Institute_Sarokar_Campus
KotaMentrs,919257032100,NEET/JEE,Kota,4.9,27,"5 K 3, 2 nd, Infront of Lahani Hospital, Parijat Road, Floor, Mahaveer Nagar, Kota, Rajasthan 324005",https://www.kotamentrs.com/
MGautam Institute of Iit - Jee maths,919829171360,NEET/JEE,Kota,4.9,84,"4-J-32, 3rd, Parijat Road, Mahaveer Nagar Housing Board Colony, Mahaveer Nagar, Kota, Rajasthan 324009",
Dr. Tanwar Sir Maths | Best Maths Teacher in Kota | IIT JEE Maths Coaching Classes | Online Tutor,918118853033,NEET/JEE,Kota,5,32,"Mahaveeer Nagar 1, Mahaveer Nagar-I, Mahaveer Nagar Housing Board Colony, Mahaveer Nagar, Kota, Rajasthan 324005",https://drtanwarsirmaths.com/
JEE Maths by Virash Sir | Best Individual Maths Classes for IIT JEE in Kota,919636912275,NEET/JEE,Kota,5,143,"Suwalka & Suwalka, B-354, Rd Number 1, Indraprastha Industrial Area, Kota, Rajasthan 324005",https://virashsir.com/
Shriji Home Tutions | Private Tutions | Best Home Tution In Kota | IIT-JEE | NEET | I-XII,919694062555,NEET/JEE,Kota,4.8,90,"11 C, 6, Shahid bhagat singh road, near allen safalya, Mahaveer Nagar Extension, Mahaveer Nagar, Kota, Rajasthan 324009",https://shrijihometuitions.com/
Sinha Mathematics Classes-SMC for JEE(Advanced+Mains) l Best Math's Coaching in kota l BY SINHA SIR (IIT-Madras ),917690988267,NEET/JEE,Kota,4.8,289,"74 old, Rajeev Gandhi Nagar, Instrumentation Limited Colony, Kota, Rajasthan 324005",https://www.youtube.com/@SMCKOTAJEE
Physics Centre by DB Singh,919772881234,NEET/JEE,Kota,4.8,110,"IIT PHYSICS CENTRE, by DB SINGH 2-ka-35, Jhalawar Road, Vigyan Nagar, Kota, Rajasthan 324005",https://iitphysicscentre.com/
GURUKUL TUTORS KOTA | NURSERY TO 10th ALL SUBJECTS TUTION | 11TH- 12TH ART/COMMERCE/SCIENCE TUTION| RBSE/CBSE,919983826881,NEET/JEE,Kota,5,10,"1563 -A, Rama Krishna Puram, Kota, Rajasthan 324010",
NK CLASSES - Best Coaching for Physics | NEET | Board Examination | Tuition For School Children,919024547188,NEET/JEE,Kota,4.6,47,"795, First Floor, CBI BANK Building, in front of HDFC BANK, Chitragupt Colony, Shastri Nagar, Dadabari, Kota, Rajasthan 324009",https://nkclass.in/
S.R.C. PHYSICS CLASSES,919931374487,NEET/JEE,Kota,5,95,"Gyanodaya tower, No.1, opp. Landmark gate, Kunadi, Electricity Board Area, Kota, Rajasthan 324008",
