priority,call_status,institute,phone,segment,acharya_match,area,rating,reviews,website,already_worked_by_rohan
B116,,Good Will Home Tutorial,8709286499,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Patliputra Colony,4.9,166,https://goodwill.homestuition.in/,
B117,,Career Classes by Panna Lal Sir,9835676016,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Sri Krishna Puri,4.9,295,https://careerclassespatna.in/,
B118,,TCH EDUSERV,9835813365,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Chitragupta Nagar,4.9,287,http://tcheduserv.com/,
B119,,Shaping Future,9304519935,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Kankarbagh,4.9,254,,
B120,,ENGINEER'S GURUKUL,9279427723,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Ghrounda,4.9,298,http://engineersgurukul.tech/,
B121,,Adhyayan Peeth (Aakash Academy),9113373107,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Khajpura,4.9,261,https://sites.google.com/view/adhyayanpeeth/home,
B122,,Centre Of Education,7677119853,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Lohia Nagar,4.9,271,http://www.centreofeducation.com/,
B123,,Vedantu Learning Centre Patna,9108076572,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Sri Krishna Puri,4.8,150,https://www.vedantu.com/offline-centres/patna/boring-road?ut,
B124,,MAX.WELL INSTITUTE,8540077009,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,chauraha,4.8,191,,
B125,,Top Tutorial,8434734095,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,North Sri Krishna Puri,4.8,276,,
B126,,Aditya Classes,9123477458,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,North Shastri Nagar,4.8,152,https://adityaclassespatna.org/,
B127,,Innovative Classes,7856949300,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Dhanaut,4.8,217,,
B128,,Achiever's Arts Academy,7856850200,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Anandpuri,4.8,247,https://achieversartsacademy.in/,
B129,,NANCY HOME TUITION,8083828199,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Golambar,4.8,194,http://www.nancyhometuition.in/,
B130,,Anand Teaching Centre,8210693230,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Mithapur,4.8,220,,
B131,,Chronicle Academy,9334102329,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Kidwaipuri,4.8,282,http://chronicleacademy.co.in/,
B132,,SAI CIVIL SERVICES PATNA,7549360801,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Lohia Nagar,4.8,215,http://www.saicivilservicespatna.com/,
B133,,Career Wings,9471050789,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Sri Krishna Puri,4.8,293,http://www.fb.com/careerwingspatna,
B134,,Bright Future Career Institute,9304334026,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Mithapur,4.8,206,http://brightfuturepatna.com/,
B135,,ZENITH CLASSES,9102400201,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Lalbagh,4.8,191,http://zenithclassespatna.com/,
B136,,Pathshala institute,9386775489,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Rajendra Nagar,4.7,163,http://www.cpathshala.com/,
B137,,Udaan Career Institute,8002888900,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Kidwaipuri,4.7,220,https://udaanedu.com/,
B138,,GUARANTEE TUTORIAL,6299707250,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Anandpuri,4.7,238,,
B139,,BE RANKER HOME TUTOR,9006722198,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Bhikhana Pahari,4.7,173,https://berankerhometutor.com/,
B140,,Abhigyan Home Tuition,9162532408,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Lohia Nagar,4.6,232,https://abhigyanhometuition.in/,
B141,,Career Classes,9608115151,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Sri Krishna Puri,4.5,239,https://www.careerclassespatna.com/,
B142,,R R Campus,8002169064,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Sri Krishna Puri,4.5,156,http://rrcampus.com/,
B143,,Professional Academy,9304815212,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Sri Krishna Puri,4.4,198,http://www.professionalacademy.co.in/,
B144,,Sandhaan Classes,9334288235,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Anandpuri,4.4,252,,
B145,,BSC Coaching,9798422294,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Anisabad,4.4,191,https://www.bsccoaching.com/,
B146,,Unacademy Coaching Centre,6366527043,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Ghrounda,4.2,201,https://unacademy.com/goal/jee-neet-coaching/JVITK/centre/Pa,
B147,,Goal Institute,7564902125,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Danapur,4.1,223,http://www.goalinstitute.org/,
B148,,Paramount Coaching Centre,7033097666,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Bhikhana Pahari,3.8,246,https://paramountpatna.com/,
B149,,Career Point,7209776677,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Kankarbagh,3.7,247,https://careerpoint.ac.in/center/patna/contact,
B150,,CONCEPT WALA IIT JEE NEET CLASS BY M K SINGH SIR,9031732868,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Bankman Colony,5,24,http://conceptwala.created.app/,
B151,,Gyandeep Home tuition,9288570274,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Patliputra Colony,5,22,,
B152,,YUKTI EDUCATION BEST COACHING FOR BANK/SSC RAILWAY,7635056744,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Kidwaipuri,5,21,,
B153,,Yashobhoomi Institute – Best IIT,9661267444,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Paijawa,5,16,https://yashobhoomi.net/,
B154,,"Prayas Classes – SSC, Banking & Railway Coaching in Patna",9973595162,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Sri Krishna Puri,5,16,http://www.prayasclasses.co.in/,
B155,,MSJD EDUCATIONAL INSTITUTE,7858048007,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Anandpuri,5,16,https://msjdeducationalinstitute.com/,
B156,,Rebel Science Tutorial,6202731809,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Kidwaipuri,5,15,https://rebelclasses.blogspot.com/?m=1,
B157,,Lilavati Home Tuition,9955226600,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Patliputra Colony,5,15,,
B158,,Yug Tution zone,9234578023,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Danapur,4.9,21,,
B159,,Aman Home Tuition Bureau,6299286072,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,North Shastri Nagar,5,12,https://amantuitionpatna.in/,
B160,,Success Home Tuition,9296257265,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Anandpuri,5,9,https://hometuitioninpatna.com/,
B161,,Sarvoday Classes,9263392961,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Keshri Nagar,5,8,https://sarvodayclasses.figma.site/,
B162,,Home Tutor,9470631925,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Mustafapur,4.9,16,http://www.nancyhometuition.in/,
B163,,Dreamers Home Tuition Patna,6200742495,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Keshri Nagar,5,6,,
