name,cluster,subject,owner,phone,size_est,priority,maya_precall,visit_status,pilot_status,pain_notes
Aw Classes Chaumahla,,,,,,3,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). !! CITY UNVERIFIED — Gaya appears in neither the app name nor any review. Could be another state entirely (a 'Gaya' sweep surfaced Kavya Classes *Guna*, MP). CONFIRM ON MAPS BEFORE TRAVEL. Platform=self-built / other vendor=Application Adda app=com.awclasschaumahla.app. 23 reviews / 2 at 1-2 star. MENTIONS (verbatim): 5* ye app reallity me mene dekha he ki jo question ye sir batate he exams me vhi aate he iske liye me dill se inhe thank you bolungi inka jo chanaky batch he na vo to such a god gift from shobbu sir f || 5* Bhaiya jo batate hai bohi paper me aata hai mene 2 Saal me book se padhai nahi ke bhaiya ne jo question bataya bohi padha or pass ho gya"
Shivam Classes Gaya,,,,,,2,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). city in app name Platform=Classplus (reseller) vendor=Education Hive Media app=co.varys.fplrk. 11 reviews / 1 at 1-2 star."
Vaibhav Jalan Classes Test App,,,,,,3,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). !! CITY UNVERIFIED — Gaya appears in neither the app name nor any review. Could be another state entirely (a 'Gaya' sweep surfaced Kavya Classes *Guna*, MP). CONFIRM ON MAPS BEFORE TRAVEL. Platform=self-built / other vendor=5098352035341791257 app=com.vaibhavjalan.test_app. 10 reviews / 1 at 1-2 star. MENTIONS (verbatim): 5* Best test app with friendly ui and easy to use app"
Gursehaj Coaching Classes,,,,,,3,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). !! CITY UNVERIFIED — Gaya appears in neither the app name nor any review. Could be another state entirely (a 'Gaya' sweep surfaced Kavya Classes *Guna*, MP). CONFIRM ON MAPS BEFORE TRAVEL. Platform=Classplus (reseller) vendor=Education Leaf Media app=co.sansa.czuds. 3 reviews / 1 at 1-2 star."
S Coaching Classes,,,,,,3,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). !! CITY UNVERIFIED — Gaya appears in neither the app name nor any review. Could be another state entirely (a 'Gaya' sweep surfaced Kavya Classes *Guna*, MP). CONFIRM ON MAPS BEFORE TRAVEL. Platform=Classplus (reseller) vendor=Education Robin Media app=co.robin.jtkuv. 4 reviews / 0 at 1-2 star. MENTIONS (verbatim): 5* This is a great app for study From this app we can get back the syllabus if we are absent in classes"
G.K. Tutorials,,,,,,3,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). !! CITY UNVERIFIED — Gaya appears in neither the app name nor any review. Could be another state entirely (a 'Gaya' sweep surfaced Kavya Classes *Guna*, MP). CONFIRM ON MAPS BEFORE TRAVEL. Platform=Classplus vendor=Education Media app=co.classplus.gk. 4 reviews / 0 at 1-2 star. MENTIONS (verbatim): 5* Very ncee app which provides all lectures, assignments and tests. Teachers are excellent and their way of teaching is exclusive and amazing."
Sanjay Grammar Centre Gaya,,,,,,2,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). city in app name Platform=white-label (unknown vendor) vendor=8212500926340311388 app=com.gijmti.ofgzbt. 12 reviews / 0 at 1-2 star."
Kavya Classes Guna,,,,,,3,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). !! CITY UNVERIFIED — Gaya appears in neither the app name nor any review. Could be another state entirely (a 'Gaya' sweep surfaced Kavya Classes *Guna*, MP). CONFIRM ON MAPS BEFORE TRAVEL. Platform=Classplus (reseller) vendor=KAVYA CLASSES GUNA app=co.diy.tzpiw. 7 reviews / 1 at 1-2 star."
TECHNICAL ACADEMY GAYA,,,,,,2,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). city in app name Platform=Classplus (reseller) vendor=Education Alexis Media app=co.alexis.tllbr. 6 reviews / 0 at 1-2 star."
THE S.G. CLASSES,,,,,,3,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). !! CITY UNVERIFIED — Gaya appears in neither the app name nor any review. Could be another state entirely (a 'Gaya' sweep surfaced Kavya Classes *Guna*, MP). CONFIRM ON MAPS BEFORE TRAVEL. Platform=Classplus (reseller) vendor=Education George Media app=co.george.ewxhl. 17 reviews / 0 at 1-2 star."
CG Classes,,,,,,3,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). !! CITY UNVERIFIED — Gaya appears in neither the app name nor any review. Could be another state entirely (a 'Gaya' sweep surfaced Kavya Classes *Guna*, MP). CONFIRM ON MAPS BEFORE TRAVEL. Platform=Classplus (reseller) vendor=Education Robin Media app=co.robin.lxzrs. 10 reviews / 0 at 1-2 star."
GENIUS COACHING CLASSES,,,,,,3,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). !! CITY UNVERIFIED — Gaya appears in neither the app name nor any review. Could be another state entirely (a 'Gaya' sweep surfaced Kavya Classes *Guna*, MP). CONFIRM ON MAPS BEFORE TRAVEL. Platform=Classplus (reseller) vendor=Education DIY4 Media app=co.diy4.abdcl. 7 reviews / 0 at 1-2 star."
